playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Nuit Profonde (500 titres),1,2,1347869,What’s a Woman?,Vaya Con Dios,Night Owls,232
Nuit Profonde (500 titres),1,2,2128558,What’s a Woman?,Vaya Con Dios,Night Owls,232
Nuit Profonde (500 titres),2,2,2114756,War Machine,KISS,Creatures of the Night,255
Nuit Profonde (500 titres),2,2,2336315,War Machine,KISS,Creatures of the Night,255
Nuit Profonde (500 titres),3,2,1273586,At Night (Purple Disco Machine extended remix),Purple Disco Machine,Discotheque,259
Nuit Profonde (500 titres),3,2,1427957,At Night (Purple Disco Machine extended remix),Purple Disco Machine,Discotheque,259
Nuit Profonde (500 titres),4,2,1193649,C’est la nuit,Khaled,Kenza,304
Nuit Profonde (500 titres),4,2,1348097,C’est la nuit,Khaled,Kenza,305
Nuit Profonde (500 titres),5,2,2350363,Flashback (Kon Remix),Imagination,night dubbing ii,485
Nuit Profonde (500 titres),5,2,2002002,Flashback [Kon Remix],Imagination,Night Dubbing Ii,485
Nuit Profonde (500 titres),6,2,2259788,Hedwig's Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Nuit Profonde (500 titres),6,2,2114795,Hedwig’s Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Nuit Profonde (500 titres),7,2,1488456,La nuit porte conseil,Black M,La nuit porte conseil - Single,232
Nuit Profonde (500 titres),7,2,2308623,La nuit porte conseil,Black M,La nuit porte conseil - Single,232
Nuit Profonde (500 titres),8,2,2123981,Like No Other Night,38 Special,Strength in Numbers,239
Nuit Profonde (500 titres),8,2,2332555,Like No Other Night,38 Special,Strength in Numbers,239
Nuit Profonde (500 titres),9,3,2175922,Love Is Like a Gun,Indeep,Last Night a D.J. Saved My Life!,172
Nuit Profonde (500 titres),9,3,2216430,Love Is Like a Gun,Indeep,Last Night a D.J. Saved My Life!,172
Nuit Profonde (500 titres),9,3,2331184,Love Is Like a Gun,Indeep,Last Night a D.J. Saved My Life!,172
Nuit Profonde (500 titres),10,2,1969454,Lovin' You,Commodores,Natural High/Midnight Magic,272
Nuit Profonde (500 titres),10,2,2138142,Lovin’ You,Commodores,Midnight Magic,275
Nuit Profonde (500 titres),11,2,2216855,Ma life,Oxmo Puccino,La nuit du réveil,192
Nuit Profonde (500 titres),11,2,2330613,Ma life,Oxmo Puccino,La nuit du réveil,192
Nuit Profonde (500 titres),12,2,2111122,Make Me,Dirty Heads,Midnight Control,191
Nuit Profonde (500 titres),12,2,2178595,Make Me,Dirty Heads,Midnight Control,191
Nuit Profonde (500 titres),13,2,1282487,Midnight Lion Walk,KSHMR,Harmonica Andromeda (deluxe),248
Nuit Profonde (500 titres),13,2,1423989,Midnight Lion Walk,KSHMR,Harmonica Andromeda,248
Nuit Profonde (500 titres),14,2,2118644,Nuit de folie,Début de Soirée,Nuit de folie - Tout pour la danse (Special Edition),254
Nuit Profonde (500 titres),14,2,2306922,Nuit de folie,Début de Soirée,Nuit de folie - Tout pour la danse (Special Edition),254
Nuit Profonde (500 titres),15,2,2231445,ONE MORE NIGHT (CUTMORE CLUB MIX),Maroon 5,Holiday Gift,348
Nuit Profonde (500 titres),15,2,2272473,One More Night (Cutmore Club Mix),Maroon 5,Holiday Gift,348
Nuit Profonde (500 titres),16,2,2033280,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Nuit Profonde (500 titres),16,2,2117332,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Nuit Profonde (500 titres),17,2,1969451,Still,Commodores,Natural High/Midnight Magic,350
Nuit Profonde (500 titres),17,2,2308550,Still,Commodores,Midnight Magic,353
Nuit Profonde (500 titres),18,2,1935017,Through The Echoes,Paolo Nutini,Last Night In The Bittersweet,221
Nuit Profonde (500 titres),18,2,2216452,Through the Echoes,Paolo Nutini,Last Night in the Bittersweet,221
Nuit Profonde (500 titres),19,2,1350269,U.R.A Fever,The Kills,Midnight Boom,139
Nuit Profonde (500 titres),19,2,2174321,U.R.A. Fever,The Kills,Midnight Boom,136
Nuit Profonde (500 titres),20,2,2134006,You Should Be Dancing,Various Artists,Saturday Night Fever: The Original Movie Sound Track,257
Nuit Profonde (500 titres),20,2,1952720,You Should be Dancing,Various Artists,Saturday Night Fever: the Original Movie Sound Track,256
Nuit Profonde (500 titres),21,2,2294650,#Original Motion Picture Soundtracks - After Midnight (live mix),Hed Kandi,[Unknown Album],596
Nuit Profonde (500 titres),21,2,2294652,#Original Motion Picture Soundtracks - After Midnight (live mix),Hed Kandi,[Unknown Album],596
Nuit Profonde (500 titres),22,2,1975545,'Round About Midnight,Bill Evans,Compact Jazz,392
Nuit Profonde (500 titres),22,2,2196985,'Round About Midnight,Bill Evans,Compact Jazz,392
Nuit Profonde (500 titres),23,6,1975222,'Round Midnight,Bill Evans,"Treasures: Solo, Trio & Orchestra Recordings From Denmark (1965-1969)",278
Nuit Profonde (500 titres),23,6,1975331,'Round Midnight,Bill Evans,"Live in Europe 65, 72",444
Nuit Profonde (500 titres),23,6,1975357,'Round Midnight,Bill Evans,You're Gonna Hear From Me,384
Nuit Profonde (500 titres),23,6,2182493,'Round Midnight,Bill Evans,"Treasures: Solo, Trio & Orchestra Recordings From Denmark (1965-1969)",278
Nuit Profonde (500 titres),23,6,1974910,'round Midnight,Bill Evans,The Complete Bill Evans on Verve,396
Nuit Profonde (500 titres),23,6,2197291,'round Midnight,Bill Evans,The Complete Bill Evans on Verve,396
Nuit Profonde (500 titres),24,2,2197063,'Round Midnight [B-Side],Amy Winehouse,Frank & Back to Black (Box Set),229
Nuit Profonde (500 titres),24,2,2291239,'round Midnight [B-Side],Amy Winehouse,Frank & Back to Black (Box Set),229
Nuit Profonde (500 titres),25,2,2306305,'Til Tomorrow,Marvin Gaye,Midnight Love,2048
Nuit Profonde (500 titres),25,2,1943256,'til Tomorrow,Marvin Gaye,Midnight Love,299
Nuit Profonde (500 titres),26,6,1296939,(Get Your Kicks On) Route 66,Nat King Cole,After Midnight (Remastered),182
Nuit Profonde (500 titres),26,6,2278752,(Get Your Kicks On) Route 66,Nat King Cole,After Midnight (Remastered),182
Nuit Profonde (500 titres),26,6,2282914,(Get Your Kicks On) Route 66,Nat King Cole,After Midnight (Remastered),182
Nuit Profonde (500 titres),26,6,2336465,(Get Your Kicks On) Route 66,Nat King Cole,After Midnight (Remastered),182
Nuit Profonde (500 titres),26,6,2336466,(Get Your Kicks On) Route 66,Nat King Cole,After Midnight (Remastered),182
Nuit Profonde (500 titres),26,6,2336467,(Get Your Kicks On) Route 66,Nat King Cole,After Midnight (Remastered),182
Nuit Profonde (500 titres),27,2,1960922,(Love Me Like You Did) Last Night,Roy Orbison,Collected,189
Nuit Profonde (500 titres),27,2,1961776,(Love Me Like You Did) Last Night,Roy Orbison,The Singles Collection 1965-1973,192
Nuit Profonde (500 titres),28,2,2178606,(Theme from) Midnight Express (vocal),Giorgio Moroder,Midnight Express: Music From the Original Motion Picture Soundtrack,287
Nuit Profonde (500 titres),28,2,2197207,(Theme from) Midnight Express (vocal),Giorgio Moroder,Midnight Express: Music From the Original Motion Picture Soundtrack,287
Nuit Profonde (500 titres),29,4,2221831,1 Night,Mura Masa,Mura Masa,207
Nuit Profonde (500 titres),29,4,2261502,1 Night,Mura Masa,Mura Masa,207
Nuit Profonde (500 titres),29,4,2318996,1 Night,Mura Masa,Mura Masa,207
Nuit Profonde (500 titres),29,4,2330099,1 Night,Mura Masa,Mura Masa,207
Nuit Profonde (500 titres),30,4,2216859,10.000,Oxmo Puccino,La nuit du réveil,154
Nuit Profonde (500 titres),30,4,2261839,10.000,Oxmo Puccino,La nuit du réveil,154
Nuit Profonde (500 titres),30,4,2314245,10.000,Oxmo Puccino,La nuit du réveil,154
Nuit Profonde (500 titres),30,4,2330617,10.000,Oxmo Puccino,La nuit du réveil,154
Nuit Profonde (500 titres),31,2,2283037,12 After Midnight,Hed Kandi,Audios,176
Nuit Profonde (500 titres),31,2,2336521,12 After Midnight,Hed Kandi,Audios,176
Nuit Profonde (500 titres),32,4,2065027,13 After Midnight (Feat. Emily Zec,Various Artists,Audios,176
Nuit Profonde (500 titres),32,4,2104301,13 After Midnight (Feat. Emily Zec,Various Artists,Audios,176
Nuit Profonde (500 titres),32,4,2198967,13 After Midnight (Feat. Emily Zec,Various Artists,Audios,176
Nuit Profonde (500 titres),32,4,2198968,13 After Midnight (Feat. Emily Zec,Various Artists,Audios,176
Nuit Profonde (500 titres),33,4,2278828,13 After Midnight (Feat. Emily Zec,Hed Kandi,Audios,176
Nuit Profonde (500 titres),33,4,2278830,13 After Midnight (Feat. Emily Zec,Hed Kandi,Audios,176
Nuit Profonde (500 titres),33,4,2336540,13 After Midnight (Feat. Emily Zec,Hed Kandi,Audios,176
Nuit Profonde (500 titres),33,4,2336541,13 After Midnight (Feat. Emily Zec,Hed Kandi,Audios,176
Nuit Profonde (500 titres),34,48,2216279,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2263262,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2268047,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2278942,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2283427,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2283428,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2283429,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2283430,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2283437,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295098,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295099,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295100,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295101,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295102,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295103,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295104,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295105,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295106,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295107,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295108,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295109,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295111,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295115,2 AM,Mark Ronson,Late Night Feelings,198
Nuit Profonde (500 titres),34,48,2295116,2 AM,Mark Ronson,Late Night Feelings,198
