playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Instrumentaux (500 titres),1,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Instrumentaux (500 titres),1,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Instrumentaux (500 titres),2,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Instrumentaux (500 titres),2,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Instrumentaux (500 titres),2,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Instrumentaux (500 titres),3,2,2307577,Instrumental,Rob Dougan,Furious Angels,268
Instrumentaux (500 titres),3,2,2123202,Instrumental,Rob Dougan,Furious Angels,268
Instrumentaux (500 titres),4,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Instrumentaux (500 titres),4,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Instrumentaux (500 titres),5,2,1949874,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
Instrumentaux (500 titres),5,2,2337299,(You Drive Me) Crazy [The Stop Remix!] [Instrumental],Britney Spears,(You Drive Me) Crazy [Japanese CD Single],197
Instrumentaux (500 titres),6,4,2177021,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Instrumentaux (500 titres),6,4,2219553,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Instrumentaux (500 titres),6,4,2271758,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Instrumentaux (500 titres),6,4,2304127,05 Instrumental #1,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",197
Instrumentaux (500 titres),7,3,2177022,06 Instrumental #2,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",150
Instrumentaux (500 titres),7,3,2219554,06 Instrumental #2,Beastie Boys,"1996.06.15. Beastie Boys. Fight For Tibet (Golden Gate Park, San Fransico) - 320",150
