playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Yoga (120 titres),1,2,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Yoga (120 titres),1,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Yoga (120 titres),2,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Yoga (120 titres),2,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Yoga (120 titres),2,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Yoga (120 titres),3,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Yoga (120 titres),3,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Yoga (120 titres),4,2,1958525,Yeha-Noha (Wishes Of Happiness & Prosperity),Sacred Spirit,Chants and Dances of the Native Americans,242
Yoga (120 titres),4,2,1958529,Yeha-Noha (Wishes of Happiness & Prosperity),Sacred Spirit,Sacred Spirit: Chants and Dances of the Native Americans,242
Yoga (120 titres),5,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Yoga (120 titres),5,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Yoga (120 titres),6,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Yoga (120 titres),6,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Yoga (120 titres),7,2,2118908,Little Man,Sia,Healing Is Difficult (10th Anniversary Edition),364
Yoga (120 titres),7,2,2307322,Little Man,Sia,Healing Is Difficult,364
Yoga (120 titres),8,2,1988419,Time After Time (instrumental),INOJ,TIME AFTER TIME,254
Yoga (120 titres),8,2,2199352,Time After Time (instrumental),INOJ,Time After Time,254
Yoga (120 titres),9,2,2055919,Meditation III,Sufjan Stevens,Convocations,244
Yoga (120 titres),9,2,2164118,Meditation III,Sufjan Stevens,Convocations,244
Yoga (120 titres),10,3,2060509,Calm Inside the Storm,Cyndi Lauper,Maybe He'll Know Ep,237
Yoga (120 titres),10,3,2080468,Calm Inside the Storm,Cyndi Lauper,True Colors: the Best of Cyndi Lauper [CD2],236
Yoga (120 titres),10,3,2183811,Calm Inside the Storm,Cyndi Lauper,True Colors: The Best of Cyndi Lauper,236
Yoga (120 titres),11,2,2322078,Crockett's Theme,Various Artists,"Back to the 80’s: De Hits uit de Jaren ’80, Volume 2",214
Yoga (120 titres),11,2,1954634,Crockett’S Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Yoga (120 titres),12,2,2178364,Calm Down,Jack Johnson,Meet the Moonlight,195
Yoga (120 titres),12,2,2183690,Calm Down,Jack Johnson,Meet the Moonlight,195
Yoga (120 titres),13,2,2260049,Fumbling Towards Ecstasy / Possession (Piano Version),Sarah McLachlan,Fumbling Towards Ecstasy,587
Yoga (120 titres),13,2,2116877,Fumbling Towards Ecstasy / Possession (piano version),Sarah McLachlan,Fumbling Towards Ecstasy,587
Yoga (120 titres),14,3,2234346,Give It All Up (Erol Alkan’S Instrumental Rework),Duran Duran feat. Tove Lo,Give It All Up (Erol Alkan’s rework),570
Yoga (120 titres),14,3,2296819,Give It All Up (Erol Alkan’s instrumental rework),Duran Duran feat. Tove Lo,Give It All Up (Erol Alkan’s rework),570
Yoga (120 titres),14,3,2317426,Give It All Up (Erol Alkan’s instrumental rework),Duran Duran feat. Tove Lo,Give It All Up (Erol Alkan’s rework),570
Yoga (120 titres),15,2,2183694,"Lemminkainen Suite, Op. 22: II. The Swan of Tuonela","Christine Pendrill, Geoffrey Simon & Philharmonia Orchestra",Midnight Lounge - Chill Out Classics and Meditation,545
Yoga (120 titres),15,2,1973416,"Lemminkainen Suite, Op. 22: Ii. the Swan of Tuonela","Christine Pendrill, Geoffrey Simon & Philharmonia Orchestra",Midnight Lounge - Chill Out Classics and Meditation,545
Yoga (120 titres),16,2,1958743,"Demain, C’Est Loin (Instrumental)",IAM,Unknown Album,541
Yoga (120 titres),16,2,2271150,"Demain, c'est loin (instrumental)",IAM,L'École du micro d'argent,541
Yoga (120 titres),17,2,2098538,Naked City,Frank Zappa,Everything Is Healing Nicely,522
Yoga (120 titres),17,2,2165502,Naked City,Frank Zappa,Everything Is Healing Nicely,522
Yoga (120 titres),18,2,1173610,"Keyboard Concerto No. 1 in D Minor, BWV 1052 : I. Allegro",Glenn Gould,Glenn Gould plays Bach: Piano Concertos Nos. 1 - 5 BWV 1052-1056 & No. 7 BWV 1058,516
Yoga (120 titres),18,2,1173611,"Keyboard Concerto No. 1 in D Minor, BWV 1052 : I. Allegro",Glenn Gould,Glenn Gould plays Bach: Piano Concertos Nos. 1 - 5 BWV 1052-1056 & No. 7 BWV 1058,516
