playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Bandes Originales (500 titres),1,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Bandes Originales (500 titres),1,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Bandes Originales (500 titres),2,2,2120068,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Bandes Originales (500 titres),2,2,1949462,Baila Pa Emociona | Calypso,Zumba Fitness,Zumba Fitness Cardio Party Soundtrack,251
Bandes Originales (500 titres),3,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Bandes Originales (500 titres),3,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Bandes Originales (500 titres),4,3,2307473,Aaron,Paul Kalkbrenner,Berlin Calling: The Soundtrack,360
Bandes Originales (500 titres),4,3,2169820,Aaron,Paul Kalkbrenner,Berlin Calling (The Soundtrack),360
Bandes Originales (500 titres),4,3,2294231,Aaron,Paul Kalkbrenner,Berlin Calling: The Soundtrack,10
Bandes Originales (500 titres),5,3,1244074,Champs Elysées Theme,Bob Sinclar,Champs Elysées,265
Bandes Originales (500 titres),5,3,1890358,Champs Elysées Theme,Bob Sinclar,Champs Elysées,266
Bandes Originales (500 titres),5,3,1950726,Champs Elysées Theme,Bob Sinclar,Champs Elysées,265
Bandes Originales (500 titres),6,3,1357007,Crockett's Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Bandes Originales (500 titres),6,3,2322078,Crockett's Theme,Various Artists,"Back to the 80’s: De Hits uit de Jaren ’80, Volume 2",214
Bandes Originales (500 titres),6,3,1954634,Crockett’S Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Bandes Originales (500 titres),7,2,2259788,Hedwig's Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Bandes Originales (500 titres),7,2,2114795,Hedwig’s Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Bandes Originales (500 titres),8,2,2057575,Kuffs Theme,Harold Faltermeyer,Kuffs,164
